Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.37,9.74
01-Jul-20,12:30:00 AM,8.33,8.60
01-Jul-20,1:00:00 AM,8.16,8.37
01-Jul-20,1:30:00 AM,8.14,8.48
01-Jul-20,2:00:00 AM,8.35,8.68
01-Jul-20,2:30:00 AM,8.20,8.54
01-Jul-20,3:00:00 AM,8.33,8.56
01-Jul-20,3:30:00 AM,8.21,8.54
01-Jul-20,4:00:00 AM,8.90,9.38
01-Jul-20,4:30:00 AM,9.06,9.51
01-Jul-20,5:00:00 AM,9.53,9.99
01-Jul-20,5:30:00 AM,10.58,11.12
01-Jul-20,6:00:00 AM,11.20,11.72
01-Jul-20,6:30:00 AM,11.89,12.39
01-Jul-20,7:00:00 AM,12.77,13.27
01-Jul-20,7:30:00 AM,12.60,13.10
01-Jul-20,8:00:00 AM,12.26,12.78
01-Jul-20,8:30:00 AM,11.72,12.28
01-Jul-20,9:00:00 AM,11.19,11.83
01-Jul-20,9:30:00 AM,10.43,10.89
01-Jul-20,10:00:00 AM,9.86,10.37
01-Jul-20,10:30:00 AM,9.92,10.46
01-Jul-20,11:00:00 AM,10.01,10.58
01-Jul-20,11:30:00 AM,9.70,10.43
01-Jul-20,12:00:00 PM,9.61,10.29
01-Jul-20,12:30:00 PM,9.05,9.62
01-Jul-20,1:00:00 PM,9.41,10.09
01-Jul-20,1:30:00 PM,9.31,9.94
01-Jul-20,2:00:00 PM,9.50,10.05
01-Jul-20,2:30:00 PM,10.01,10.53
01-Jul-20,3:00:00 PM,10.82,11.42
01-Jul-20,3:30:00 PM,10.83,11.30
01-Jul-20,4:00:00 PM,11.65,12.19
01-Jul-20,4:30:00 PM,12.12,12.72
01-Jul-20,5:00:00 PM,13.22,13.78
01-Jul-20,5:30:00 PM,13.52,14.21
01-Jul-20,6:00:00 PM,12.77,13.23
01-Jul-20,6:30:00 PM,12.55,13.03
01-Jul-20,7:00:00 PM,12.52,13.10
01-Jul-20,7:30:00 PM,12.58,13.04
01-Jul-20,8:00:00 PM,12.00,12.42
01-Jul-20,8:30:00 PM,11.95,12.33
01-Jul-20,9:00:00 PM,12.04,12.40
01-Jul-20,9:30:00 PM,11.62,12.05
01-Jul-20,10:00:00 PM,10.67,11.04
01-Jul-20,10:30:00 PM,10.20,10.52
01-Jul-20,11:00:00 PM,9.98,10.36
01-Jul-20,11:30:00 PM,9.44,9.72
02-Jul-20,12:00:00 AM,9.28,9.59
02-Jul-20,12:30:00 AM,8.88,9.22
02-Jul-20,1:00:00 AM,8.41,8.61
02-Jul-20,1:30:00 AM,8.39,8.67
02-Jul-20,2:00:00 AM,8.34,8.60
02-Jul-20,2:30:00 AM,8.35,8.68
02-Jul-20,3:00:00 AM,7.99,8.32
02-Jul-20,3:30:00 AM,8.31,8.59
02-Jul-20,4:00:00 AM,8.82,9.22
02-Jul-20,4:30:00 AM,9.48,9.90
02-Jul-20,5:00:00 AM,10.28,10.84
02-Jul-20,5:30:00 AM,10.25,10.79
02-Jul-20,6:00:00 AM,11.43,11.97
02-Jul-20,6:30:00 AM,11.74,12.23
02-Jul-20,7:00:00 AM,12.65,13.20
02-Jul-20,7:30:00 AM,12.51,13.02
02-Jul-20,8:00:00 AM,12.66,13.34
02-Jul-20,8:30:00 AM,12.05,12.73
02-Jul-20,9:00:00 AM,12.19,12.94
02-Jul-20,9:30:00 AM,11.67,12.32
02-Jul-20,10:00:00 AM,10.65,11.28
02-Jul-20,10:30:00 AM,10.22,10.98
02-Jul-20,11:00:00 AM,10.06,10.86
02-Jul-20,11:30:00 AM,9.91,10.81
02-Jul-20,12:00:00 PM,10.32,11.12
02-Jul-20,12:30:00 PM,9.80,10.54
02-Jul-20,1:00:00 PM,9.59,10.43
02-Jul-20,1:30:00 PM,9.67,10.43
02-Jul-20,2:00:00 PM,9.63,10.20
02-Jul-20,2:30:00 PM,10.15,10.81
02-Jul-20,3:00:00 PM,10.28,10.87
02-Jul-20,3:30:00 PM,11.19,11.82
02-Jul-20,4:00:00 PM,11.84,12.37
02-Jul-20,4:30:00 PM,11.69,12.15
02-Jul-20,5:00:00 PM,12.24,12.71
02-Jul-20,5:30:00 PM,12.34,12.84
02-Jul-20,6:00:00 PM,12.38,12.87
02-Jul-20,6:30:00 PM,12.28,12.73
02-Jul-20,7:00:00 PM,12.26,12.72
02-Jul-20,7:30:00 PM,12.33,12.79
02-Jul-20,8:00:00 PM,12.18,12.62
02-Jul-20,8:30:00 PM,11.89,12.23
02-Jul-20,9:00:00 PM,12.21,12.61
02-Jul-20,9:30:00 PM,11.49,11.89
02-Jul-20,10:00:00 PM,10.40,10.72
02-Jul-20,10:30:00 PM,10.24,10.52
02-Jul-20,11:00:00 PM,9.73,10.03
02-Jul-20,11:30:00 PM,9.24,9.57
03-Jul-20,12:00:00 AM,8.62,8.84
03-Jul-20,12:30:00 AM,8.61,8.98
03-Jul-20,1:00:00 AM,8.37,8.58
03-Jul-20,1:30:00 AM,8.25,8.48
03-Jul-20,2:00:00 AM,8.21,8.55
03-Jul-20,2:30:00 AM,8.22,8.56
03-Jul-20,3:00:00 AM,8.18,8.55
03-Jul-20,3:30:00 AM,8.54,8.88
03-Jul-20,4:00:00 AM,8.61,9.06
03-Jul-20,4:30:00 AM,8.65,9.07
03-Jul-20,5:00:00 AM,9.81,10.21
03-Jul-20,5:30:00 AM,9.70,10.14
03-Jul-20,6:00:00 AM,10.30,10.72
03-Jul-20,6:30:00 AM,11.82,12.32
03-Jul-20,7:00:00 AM,12.26,12.79
03-Jul-20,7:30:00 AM,12.19,12.69
03-Jul-20,8:00:00 AM,11.92,12.42
03-Jul-20,8:30:00 AM,11.32,11.87
03-Jul-20,9:00:00 AM,10.70,11.28
03-Jul-20,9:30:00 AM,9.82,10.33
03-Jul-20,10:00:00 AM,9.69,10.33
03-Jul-20,10:30:00 AM,9.65,10.27
03-Jul-20,11:00:00 AM,9.71,10.44
03-Jul-20,11:30:00 AM,9.31,9.92
03-Jul-20,12:00:00 PM,8.77,9.31
03-Jul-20,12:30:00 PM,8.68,9.38
03-Jul-20,1:00:00 PM,9.32,10.05
03-Jul-20,1:30:00 PM,9.39,10.10
03-Jul-20,2:00:00 PM,8.98,9.67
03-Jul-20,2:30:00 PM,9.74,10.52
03-Jul-20,3:00:00 PM,9.54,10.07
03-Jul-20,3:30:00 PM,10.58,11.13
03-Jul-20,4:00:00 PM,11.41,11.87
03-Jul-20,4:30:00 PM,11.44,11.90
03-Jul-20,5:00:00 PM,11.73,12.24
03-Jul-20,5:30:00 PM,11.97,12.46
03-Jul-20,6:00:00 PM,11.26,11.59
03-Jul-20,6:30:00 PM,11.53,11.97
03-Jul-20,7:00:00 PM,11.61,12.09
03-Jul-20,7:30:00 PM,11.39,11.81
03-Jul-20,8:00:00 PM,11.16,11.49
03-Jul-20,8:30:00 PM,10.94,11.26
03-Jul-20,9:00:00 PM,10.72,11.06
03-Jul-20,9:30:00 PM,9.85,10.10
03-Jul-20,10:00:00 PM,9.14,9.37
03-Jul-20,10:30:00 PM,8.61,8.80
03-Jul-20,11:00:00 PM,8.22,8.56
03-Jul-20,11:30:00 PM,7.95,8.14
04-Jul-20,12:00:00 AM,7.67,7.81
04-Jul-20,12:30:00 AM,7.46,7.73
04-Jul-20,1:00:00 AM,7.61,7.80
04-Jul-20,1:30:00 AM,7.60,7.81
04-Jul-20,2:00:00 AM,7.18,7.40
04-Jul-20,2:30:00 AM,7.72,7.94
04-Jul-20,3:00:00 AM,7.69,8.02
04-Jul-20,3:30:00 AM,7.13,7.36
04-Jul-20,4:00:00 AM,7.02,7.19
04-Jul-20,4:30:00 AM,6.97,7.26
04-Jul-20,5:00:00 AM,7.05,7.30
04-Jul-20,5:30:00 AM,6.27,6.43
04-Jul-20,6:00:00 AM,6.20,6.32
04-Jul-20,6:30:00 AM,7.27,7.45
04-Jul-20,7:00:00 AM,7.06,7.22
04-Jul-20,7:30:00 AM,7.30,7.54
04-Jul-20,8:00:00 AM,6.85,7.19
04-Jul-20,8:30:00 AM,6.41,6.67
04-Jul-20,9:00:00 AM,6.07,6.25
04-Jul-20,9:30:00 AM,6.23,6.66
04-Jul-20,10:00:00 AM,4.95,5.27
04-Jul-20,10:30:00 AM,5.22,5.37
04-Jul-20,11:00:00 AM,4.91,5.28
04-Jul-20,11:30:00 AM,4.49,4.75
04-Jul-20,12:00:00 PM,4.54,4.81
04-Jul-20,12:30:00 PM,4.51,4.88
04-Jul-20,1:00:00 PM,4.52,4.96
04-Jul-20,1:30:00 PM,4.30,4.69
04-Jul-20,2:00:00 PM,4.40,4.59
04-Jul-20,2:30:00 PM,4.41,4.60
04-Jul-20,3:00:00 PM,4.65,4.82
04-Jul-20,3:30:00 PM,5.41,5.54
04-Jul-20,4:00:00 PM,6.50,6.62
04-Jul-20,4:30:00 PM,7.14,7.27
04-Jul-20,5:00:00 PM,7.90,8.11
04-Jul-20,5:30:00 PM,8.23,8.44
04-Jul-20,6:00:00 PM,8.22,8.43
04-Jul-20,6:30:00 PM,8.09,8.27
04-Jul-20,7:00:00 PM,8.15,8.32
04-Jul-20,7:30:00 PM,8.49,8.62
04-Jul-20,8:00:00 PM,8.38,8.49
04-Jul-20,8:30:00 PM,8.56,8.67
04-Jul-20,9:00:00 PM,8.39,8.47
04-Jul-20,9:30:00 PM,7.85,7.94
04-Jul-20,10:00:00 PM,7.54,7.61
04-Jul-20,10:30:00 PM,7.43,7.51
04-Jul-20,11:00:00 PM,6.96,7.06
04-Jul-20,11:30:00 PM,6.51,6.61
05-Jul-20,12:00:00 AM,6.53,6.61
05-Jul-20,12:30:00 AM,6.45,6.55
05-Jul-20,1:00:00 AM,5.88,5.95
05-Jul-20,1:30:00 AM,6.00,6.07
05-Jul-20,2:00:00 AM,5.80,5.89
05-Jul-20,2:30:00 AM,5.69,5.80
05-Jul-20,3:00:00 AM,5.69,5.74
05-Jul-20,3:30:00 AM,5.63,5.74
05-Jul-20,4:00:00 AM,5.68,5.76
05-Jul-20,4:30:00 AM,5.69,5.79
05-Jul-20,5:00:00 AM,5.68,5.76
05-Jul-20,5:30:00 AM,5.80,5.86
05-Jul-20,6:00:00 AM,5.95,6.01
05-Jul-20,6:30:00 AM,6.15,6.19
05-Jul-20,7:00:00 AM,6.16,6.19
05-Jul-20,7:30:00 AM,6.11,6.16
05-Jul-20,8:00:00 AM,6.05,6.13
05-Jul-20,8:30:00 AM,5.66,5.74
05-Jul-20,9:00:00 AM,5.47,5.54
05-Jul-20,9:30:00 AM,4.84,4.92
05-Jul-20,10:00:00 AM,4.61,4.67
05-Jul-20,10:30:00 AM,4.34,4.40
05-Jul-20,11:00:00 AM,4.14,4.21
05-Jul-20,11:30:00 AM,3.85,3.95
05-Jul-20,12:00:00 PM,3.60,3.74
05-Jul-20,12:30:00 PM,3.16,3.27
05-Jul-20,1:00:00 PM,3.70,3.85
05-Jul-20,1:30:00 PM,3.79,3.91
05-Jul-20,2:00:00 PM,4.16,4.22
05-Jul-20,2:30:00 PM,4.01,4.05
05-Jul-20,3:00:00 PM,4.51,4.55
05-Jul-20,3:30:00 PM,5.13,5.20
05-Jul-20,4:00:00 PM,6.65,6.73
05-Jul-20,4:30:00 PM,7.32,7.40
05-Jul-20,5:00:00 PM,8.21,8.32
05-Jul-20,5:30:00 PM,8.63,8.72
05-Jul-20,6:00:00 PM,8.63,8.72
05-Jul-20,6:30:00 PM,9.04,9.14
05-Jul-20,7:00:00 PM,9.02,9.12
05-Jul-20,7:30:00 PM,8.85,8.92
05-Jul-20,8:00:00 PM,9.25,9.34
05-Jul-20,8:30:00 PM,9.14,9.21
05-Jul-20,9:00:00 PM,9.06,9.22
05-Jul-20,9:30:00 PM,8.70,8.81
05-Jul-20,10:00:00 PM,8.28,8.39
05-Jul-20,10:30:00 PM,7.86,7.97
05-Jul-20,11:00:00 PM,7.62,7.76
05-Jul-20,11:30:00 PM,7.45,7.56
06-Jul-20,12:00:00 AM,6.91,7.00
06-Jul-20,12:30:00 AM,6.69,6.85
06-Jul-20,1:00:00 AM,6.64,6.76
06-Jul-20,1:30:00 AM,6.49,6.61
06-Jul-20,2:00:00 AM,6.35,6.49
06-Jul-20,2:30:00 AM,6.37,6.47
06-Jul-20,3:00:00 AM,6.36,6.46
06-Jul-20,3:30:00 AM,6.50,6.62
06-Jul-20,4:00:00 AM,6.94,7.13
06-Jul-20,4:30:00 AM,7.59,7.79
06-Jul-20,5:00:00 AM,8.30,8.58
06-Jul-20,5:30:00 AM,8.94,9.21
06-Jul-20,6:00:00 AM,10.09,10.35
06-Jul-20,6:30:00 AM,11.00,11.35
06-Jul-20,7:00:00 AM,12.06,12.55
06-Jul-20,7:30:00 AM,12.12,12.64
06-Jul-20,8:00:00 AM,11.68,12.13
06-Jul-20,8:30:00 AM,11.36,11.72
06-Jul-20,9:00:00 AM,11.02,11.56
06-Jul-20,9:30:00 AM,10.65,11.21
06-Jul-20,10:00:00 AM,9.74,10.35
06-Jul-20,10:30:00 AM,9.76,10.32
06-Jul-20,11:00:00 AM,9.66,10.34
06-Jul-20,11:30:00 AM,9.40,10.09
06-Jul-20,12:00:00 PM,9.25,9.96
06-Jul-20,12:30:00 PM,9.33,10.01
06-Jul-20,1:00:00 PM,9.57,10.08
06-Jul-20,1:30:00 PM,8.99,9.63
06-Jul-20,2:00:00 PM,8.90,9.42
06-Jul-20,2:30:00 PM,9.04,9.53
06-Jul-20,3:00:00 PM,9.66,10.20
06-Jul-20,3:30:00 PM,10.46,10.96
06-Jul-20,4:00:00 PM,10.92,11.31
06-Jul-20,4:30:00 PM,11.32,11.64
06-Jul-20,5:00:00 PM,11.81,12.13
06-Jul-20,5:30:00 PM,12.33,12.74
06-Jul-20,6:00:00 PM,12.33,12.74
06-Jul-20,6:30:00 PM,12.16,12.50
06-Jul-20,7:00:00 PM,12.55,12.95
06-Jul-20,7:30:00 PM,12.50,12.93
06-Jul-20,8:00:00 PM,12.09,12.50
06-Jul-20,8:30:00 PM,12.04,12.34
06-Jul-20,9:00:00 PM,11.89,12.26
06-Jul-20,9:30:00 PM,11.39,11.71
06-Jul-20,10:00:00 PM,10.33,10.61
06-Jul-20,10:30:00 PM,10.27,10.61
06-Jul-20,11:00:00 PM,9.79,10.12
06-Jul-20,11:30:00 PM,9.04,9.33
07-Jul-20,12:00:00 AM,8.54,8.83
07-Jul-20,12:30:00 AM,8.41,8.60
07-Jul-20,1:00:00 AM,8.45,8.72
07-Jul-20,1:30:00 AM,8.47,8.75
07-Jul-20,2:00:00 AM,8.15,8.41
07-Jul-20,2:30:00 AM,8.12,8.47
07-Jul-20,3:00:00 AM,8.03,8.28
07-Jul-20,3:30:00 AM,7.89,8.14
07-Jul-20,4:00:00 AM,8.25,8.61
07-Jul-20,4:30:00 AM,8.59,8.91
07-Jul-20,5:00:00 AM,9.39,9.77
07-Jul-20,5:30:00 AM,10.24,10.69
07-Jul-20,6:00:00 AM,11.51,12.02
07-Jul-20,6:30:00 AM,12.32,12.87
07-Jul-20,7:00:00 AM,12.36,12.84
07-Jul-20,7:30:00 AM,12.68,13.25
07-Jul-20,8:00:00 AM,12.40,12.91
07-Jul-20,8:30:00 AM,12.47,13.07
07-Jul-20,9:00:00 AM,12.20,12.87
07-Jul-20,9:30:00 AM,11.37,12.12
07-Jul-20,10:00:00 AM,10.85,11.50
07-Jul-20,10:30:00 AM,10.28,11.07
07-Jul-20,11:00:00 AM,10.28,10.99
07-Jul-20,11:30:00 AM,10.03,10.79
07-Jul-20,12:00:00 PM,10.43,11.14
07-Jul-20,12:30:00 PM,9.00,9.60
07-Jul-20,1:00:00 PM,10.19,10.97
07-Jul-20,1:30:00 PM,9.92,10.64
07-Jul-20,2:00:00 PM,10.53,11.33
07-Jul-20,2:30:00 PM,11.24,12.05
07-Jul-20,3:00:00 PM,11.23,12.09
07-Jul-20,3:30:00 PM,10.69,11.27
07-Jul-20,4:00:00 PM,12.44,13.12
07-Jul-20,4:30:00 PM,12.97,13.65
07-Jul-20,5:00:00 PM,13.28,13.94
07-Jul-20,5:30:00 PM,13.13,13.69
07-Jul-20,6:00:00 PM,13.31,13.78
07-Jul-20,6:30:00 PM,12.75,13.19
07-Jul-20,7:00:00 PM,12.76,13.31
07-Jul-20,7:30:00 PM,12.61,13.12
07-Jul-20,8:00:00 PM,12.00,12.35
07-Jul-20,8:30:00 PM,11.80,12.12
07-Jul-20,9:00:00 PM,11.84,12.21
07-Jul-20,9:30:00 PM,11.19,11.56
07-Jul-20,10:00:00 PM,10.52,10.89
07-Jul-20,10:30:00 PM,10.33,10.67
07-Jul-20,11:00:00 PM,10.05,10.42
07-Jul-20,11:30:00 PM,9.50,9.86
08-Jul-20,12:00:00 AM,9.11,9.41
08-Jul-20,12:30:00 AM,8.74,9.07
08-Jul-20,1:00:00 AM,8.65,8.92
08-Jul-20,1:30:00 AM,8.46,8.75
08-Jul-20,2:00:00 AM,8.60,8.92
08-Jul-20,2:30:00 AM,8.59,9.01
08-Jul-20,3:00:00 AM,8.37,8.69
08-Jul-20,3:30:00 AM,7.69,7.92
08-Jul-20,4:00:00 AM,8.47,8.82
08-Jul-20,4:30:00 AM,8.79,9.06
08-Jul-20,5:00:00 AM,9.49,9.78
08-Jul-20,5:30:00 AM,10.50,10.93
08-Jul-20,6:00:00 AM,11.28,11.73
08-Jul-20,6:30:00 AM,12.24,12.85
08-Jul-20,7:00:00 AM,12.48,12.93
08-Jul-20,7:30:00 AM,12.65,13.15
08-Jul-20,8:00:00 AM,12.56,13.19
08-Jul-20,8:30:00 AM,12.00,12.54
08-Jul-20,9:00:00 AM,11.54,12.12
08-Jul-20,9:30:00 AM,11.39,12.21
08-Jul-20,10:00:00 AM,10.95,11.69
08-Jul-20,10:30:00 AM,11.03,11.86
08-Jul-20,11:00:00 AM,10.67,11.48
08-Jul-20,11:30:00 AM,10.74,11.87
08-Jul-20,12:00:00 PM,10.36,11.26
08-Jul-20,12:30:00 PM,9.78,10.71
08-Jul-20,1:00:00 PM,10.60,11.30
08-Jul-20,1:30:00 PM,9.80,10.65
08-Jul-20,2:00:00 PM,9.21,9.85
08-Jul-20,2:30:00 PM,9.45,10.00
08-Jul-20,3:00:00 PM,10.22,10.82
08-Jul-20,3:30:00 PM,10.69,11.14
08-Jul-20,4:00:00 PM,12.07,12.55
08-Jul-20,4:30:00 PM,12.08,12.63
08-Jul-20,5:00:00 PM,12.06,12.49
08-Jul-20,5:30:00 PM,12.16,12.57
08-Jul-20,6:00:00 PM,12.47,12.93
08-Jul-20,6:30:00 PM,11.82,12.17
08-Jul-20,7:00:00 PM,11.78,12.15
08-Jul-20,7:30:00 PM,12.34,12.81
08-Jul-20,8:00:00 PM,12.05,12.46
08-Jul-20,8:30:00 PM,12.21,12.62
08-Jul-20,9:00:00 PM,11.79,12.18
08-Jul-20,9:30:00 PM,10.84,11.29
08-Jul-20,10:00:00 PM,10.16,10.55
08-Jul-20,10:30:00 PM,9.77,10.09
08-Jul-20,11:00:00 PM,9.54,9.86
08-Jul-20,11:30:00 PM,8.89,9.14
09-Jul-20,12:00:00 AM,8.44,8.66
09-Jul-20,12:30:00 AM,8.12,8.31
09-Jul-20,1:00:00 AM,8.05,8.26
09-Jul-20,1:30:00 AM,7.77,8.01
09-Jul-20,2:00:00 AM,7.80,8.02
09-Jul-20,2:30:00 AM,7.53,7.65
09-Jul-20,3:00:00 AM,7.49,7.78
09-Jul-20,3:30:00 AM,7.77,8.07
09-Jul-20,4:00:00 AM,8.47,8.90
09-Jul-20,4:30:00 AM,8.27,8.67
09-Jul-20,5:00:00 AM,8.93,9.33
09-Jul-20,5:30:00 AM,9.31,9.65
09-Jul-20,6:00:00 AM,11.28,11.87
09-Jul-20,6:30:00 AM,12.45,13.06
09-Jul-20,7:00:00 AM,13.00,13.64
09-Jul-20,7:30:00 AM,13.16,14.12
09-Jul-20,8:00:00 AM,12.71,13.54
09-Jul-20,8:30:00 AM,11.33,12.09
09-Jul-20,9:00:00 AM,10.75,11.37
09-Jul-20,9:30:00 AM,10.56,11.23
09-Jul-20,10:00:00 AM,10.71,11.20
09-Jul-20,10:30:00 AM,11.37,12.00
09-Jul-20,11:00:00 AM,9.96,10.72
09-Jul-20,11:30:00 AM,9.85,10.45
09-Jul-20,12:00:00 PM,9.13,9.77
09-Jul-20,12:30:00 PM,9.79,10.43
09-Jul-20,1:00:00 PM,12.03,12.78
09-Jul-20,1:30:00 PM,11.72,12.34
09-Jul-20,2:00:00 PM,11.77,12.46
09-Jul-20,2:30:00 PM,12.03,12.65
09-Jul-20,3:00:00 PM,11.32,11.85
09-Jul-20,3:30:00 PM,11.69,12.23
09-Jul-20,4:00:00 PM,12.48,13.01
09-Jul-20,4:30:00 PM,12.33,12.77
09-Jul-20,5:00:00 PM,13.01,13.57
09-Jul-20,5:30:00 PM,13.32,13.85
09-Jul-20,6:00:00 PM,13.39,13.88
09-Jul-20,6:30:00 PM,12.29,12.75
09-Jul-20,7:00:00 PM,12.66,13.10
09-Jul-20,7:30:00 PM,12.36,12.66
09-Jul-20,8:00:00 PM,12.68,13.01
09-Jul-20,8:30:00 PM,12.66,13.08
09-Jul-20,9:00:00 PM,12.43,12.88
09-Jul-20,9:30:00 PM,11.10,11.50
09-Jul-20,10:00:00 PM,10.78,11.08
09-Jul-20,10:30:00 PM,10.29,10.65
09-Jul-20,11:00:00 PM,10.03,10.39
09-Jul-20,11:30:00 PM,9.09,9.36
10-Jul-20,12:00:00 AM,8.80,9.12
10-Jul-20,12:30:00 AM,8.21,8.52
10-Jul-20,1:00:00 AM,8.32,8.56
10-Jul-20,1:30:00 AM,7.90,8.17
10-Jul-20,2:00:00 AM,7.64,7.92
10-Jul-20,2:30:00 AM,7.87,8.11
10-Jul-20,3:00:00 AM,7.68,7.95
10-Jul-20,3:30:00 AM,7.80,8.08
10-Jul-20,4:00:00 AM,7.96,8.29
10-Jul-20,4:30:00 AM,8.61,8.97
10-Jul-20,5:00:00 AM,9.53,10.03
10-Jul-20,5:30:00 AM,9.93,10.44
10-Jul-20,6:00:00 AM,10.18,10.67
10-Jul-20,6:30:00 AM,11.30,11.79
10-Jul-20,7:00:00 AM,11.96,12.51
10-Jul-20,7:30:00 AM,12.03,12.60
10-Jul-20,8:00:00 AM,11.54,12.11
10-Jul-20,8:30:00 AM,11.82,12.50
10-Jul-20,9:00:00 AM,11.48,12.19
10-Jul-20,9:30:00 AM,12.09,12.75
10-Jul-20,10:00:00 AM,11.27,12.08
10-Jul-20,10:30:00 AM,11.32,12.17
10-Jul-20,11:00:00 AM,11.21,12.04
10-Jul-20,11:30:00 AM,11.75,12.43
10-Jul-20,12:00:00 PM,11.04,11.68
10-Jul-20,12:30:00 PM,9.87,10.47
10-Jul-20,1:00:00 PM,10.10,10.74
10-Jul-20,1:30:00 PM,9.48,10.06
10-Jul-20,2:00:00 PM,10.33,11.01
10-Jul-20,2:30:00 PM,10.10,10.62
10-Jul-20,3:00:00 PM,9.89,10.46
10-Jul-20,3:30:00 PM,10.19,10.70
10-Jul-20,4:00:00 PM,11.23,11.78
10-Jul-20,4:30:00 PM,11.35,11.85
10-Jul-20,5:00:00 PM,11.50,11.94
10-Jul-20,5:30:00 PM,11.67,12.08
10-Jul-20,6:00:00 PM,11.71,12.10
10-Jul-20,6:30:00 PM,11.43,11.83
10-Jul-20,7:00:00 PM,11.43,11.77
10-Jul-20,7:30:00 PM,11.29,11.54
10-Jul-20,8:00:00 PM,11.26,11.53
10-Jul-20,8:30:00 PM,11.19,11.54
10-Jul-20,9:00:00 PM,11.54,11.81
10-Jul-20,9:30:00 PM,10.55,10.91
10-Jul-20,10:00:00 PM,9.33,9.53
10-Jul-20,10:30:00 PM,9.20,9.46
10-Jul-20,11:00:00 PM,8.78,8.98
10-Jul-20,11:30:00 PM,8.24,8.42
11-Jul-20,12:00:00 AM,8.49,8.78
11-Jul-20,12:30:00 AM,7.94,8.27
11-Jul-20,1:00:00 AM,7.73,7.95
11-Jul-20,1:30:00 AM,7.79,8.05
11-Jul-20,2:00:00 AM,7.75,8.06
11-Jul-20,2:30:00 AM,7.22,7.57
11-Jul-20,3:00:00 AM,7.21,7.48
11-Jul-20,3:30:00 AM,7.13,7.34
11-Jul-20,4:00:00 AM,6.82,7.08
11-Jul-20,4:30:00 AM,7.11,7.45
11-Jul-20,5:00:00 AM,7.42,7.73
11-Jul-20,5:30:00 AM,7.17,7.45
11-Jul-20,6:00:00 AM,7.30,7.57
11-Jul-20,6:30:00 AM,7.61,7.89
11-Jul-20,7:00:00 AM,7.87,8.14
11-Jul-20,7:30:00 AM,8.11,8.40
11-Jul-20,8:00:00 AM,8.07,8.47
11-Jul-20,8:30:00 AM,7.53,7.84
11-Jul-20,9:00:00 AM,7.11,7.47
11-Jul-20,9:30:00 AM,6.48,6.92
11-Jul-20,10:00:00 AM,6.22,6.75
11-Jul-20,10:30:00 AM,5.88,6.48
11-Jul-20,11:00:00 AM,6.06,6.52
11-Jul-20,11:30:00 AM,5.80,6.20
11-Jul-20,12:00:00 PM,6.15,6.55
11-Jul-20,12:30:00 PM,5.69,6.10
11-Jul-20,1:00:00 PM,6.46,6.94
11-Jul-20,1:30:00 PM,5.71,6.10
11-Jul-20,2:00:00 PM,5.41,5.67
11-Jul-20,2:30:00 PM,5.55,5.84
11-Jul-20,3:00:00 PM,6.45,6.68
11-Jul-20,3:30:00 PM,6.12,6.31
11-Jul-20,4:00:00 PM,7.01,7.23
11-Jul-20,4:30:00 PM,7.21,7.36
11-Jul-20,5:00:00 PM,7.79,7.93
11-Jul-20,5:30:00 PM,8.26,8.46
11-Jul-20,6:00:00 PM,8.29,8.48
11-Jul-20,6:30:00 PM,8.19,8.34
11-Jul-20,7:00:00 PM,7.94,8.02
11-Jul-20,7:30:00 PM,7.79,7.93
11-Jul-20,8:00:00 PM,7.84,7.94
11-Jul-20,8:30:00 PM,7.89,8.05
11-Jul-20,9:00:00 PM,7.74,7.86
11-Jul-20,9:30:00 PM,7.65,7.84
11-Jul-20,10:00:00 PM,7.21,7.34
11-Jul-20,10:30:00 PM,7.03,7.10
11-Jul-20,11:00:00 PM,6.58,6.73
11-Jul-20,11:30:00 PM,6.55,6.72
12-Jul-20,12:00:00 AM,6.28,6.46
12-Jul-20,12:30:00 AM,6.12,6.27
12-Jul-20,1:00:00 AM,5.64,5.83
12-Jul-20,1:30:00 AM,5.60,5.77
12-Jul-20,2:00:00 AM,5.72,5.86
12-Jul-20,2:30:00 AM,5.70,5.85
12-Jul-20,3:00:00 AM,5.87,6.03
12-Jul-20,3:30:00 AM,5.32,5.49
12-Jul-20,4:00:00 AM,5.61,5.77
12-Jul-20,4:30:00 AM,5.53,5.72
12-Jul-20,5:00:00 AM,5.78,5.96
12-Jul-20,5:30:00 AM,6.25,6.44
12-Jul-20,6:00:00 AM,6.13,6.32
12-Jul-20,6:30:00 AM,6.34,6.48
12-Jul-20,7:00:00 AM,6.22,6.42
12-Jul-20,7:30:00 AM,6.31,6.44
12-Jul-20,8:00:00 AM,5.90,5.98
12-Jul-20,8:30:00 AM,5.65,5.86
12-Jul-20,9:00:00 AM,5.25,5.46
12-Jul-20,9:30:00 AM,5.24,5.41
12-Jul-20,10:00:00 AM,5.54,5.78
12-Jul-20,10:30:00 AM,5.06,5.29
12-Jul-20,11:00:00 AM,5.49,5.67
12-Jul-20,11:30:00 AM,5.48,5.60
12-Jul-20,12:00:00 PM,6.41,6.57
12-Jul-20,12:30:00 PM,6.11,6.25
12-Jul-20,1:00:00 PM,6.12,6.32
12-Jul-20,1:30:00 PM,6.15,6.31
12-Jul-20,2:00:00 PM,6.32,6.47
12-Jul-20,2:30:00 PM,6.39,6.51
12-Jul-20,3:00:00 PM,6.47,6.62
