year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Mayfield West 132_11kV,01MAY2020,MW,8.31801,8.33851,8.18328,8.07322,7.79386,8.03004,7.96516,7.69673,7.55476,7.53364,7.42134,7.24391,7.27628,7.23418,7.24909,7.17579,7.19931,7.11872,7.04873,7.16737,7.30814,7.40966,7.76563,7.98289,8.50298,8.78830,9.00632,9.48068,9.93117,9.91716,9.97980,9.89373,10.08479,10.00746,9.75248,9.59991,9.48066,9.36759,9.43702,9.50732,9.39874,9.51104,9.33131,9.38163,8.68912,9.35973,9.98706,9.38092,8.77933,8.65108,8.54418,8.87196,9.09218,8.57990,8.63509,8.46609,8.39145,8.48923,8.37683,8.60362,8.67700,8.78005,9.01754,9.02007,9.27858,9.58818,9.72336,9.86937,10.13557,10.51110,10.90799,11.06869,11.14321,10.90599,10.91020,10.87440,10.72679,10.66489,10.60624,10.65913,10.42669,10.21217,10.06857,9.97433,9.85233,9.71058,9.70121,9.39563,9.34374,9.14597,9.86549,9.60331,9.46103,9.05447,8.74078,8.58884
2021,Mayfield West 132_11kV,02MAY2020,MW,8.57594,8.70654,8.70870,8.42243,8.20140,8.37349,8.10530,7.88698,7.56732,7.40284,7.39760,7.37824,7.17724,7.24337,7.31716,7.14257,7.07498,7.02378,7.10988,7.07538,7.25143,7.34082,7.48521,7.41910,7.62020,7.53462,7.53605,7.88691,7.98009,8.03243,7.97364,8.00994,8.01002,8.04713,7.94670,7.82583,7.65729,7.49795,7.27195,7.14908,7.18347,7.06304,6.95488,6.68196,6.56119,6.65336,6.60686,6.41233,6.45321,6.31742,6.23559,6.24174,6.23184,6.37743,6.42800,6.47217,6.24078,6.43390,6.59879,6.76946,6.90484,7.13226,7.25511,7.55682,7.92918,8.23070,8.40891,8.72138,9.08225,9.31206,9.78753,9.95817,9.97346,9.73317,9.85016,9.67281,9.51364,9.37174,9.25122,9.26566,9.10813,8.92843,8.93266,8.80849,8.59714,8.53982,8.55315,8.43373,9.18066,8.93817,8.45155,8.30162,8.52399,8.29209,8.22022,8.09558
2021,Mayfield West 132_11kV,03MAY2020,MW,7.75930,7.73920,7.79814,7.48368,7.31700,7.58487,7.35534,7.12273,6.99692,6.85084,6.88907,6.83343,6.90821,6.81440,6.78524,6.63742,6.73240,6.71488,6.74641,6.90603,6.78382,6.82482,6.91574,7.02789,7.27752,7.44371,7.44897,7.55810,7.50418,7.68035,7.58427,7.59115,7.70420,7.59218,7.53981,7.41726,7.18019,7.06736,6.89673,6.74744,6.72998,6.56950,6.46393,6.39497,6.24666,6.08254,6.10317,6.08648,6.16922,6.16696,6.01206,5.96853,5.98806,6.09559,6.09063,6.12834,6.16853,6.28766,6.57761,6.69669,6.76905,6.84102,7.26916,7.80572,8.09770,8.23941,8.47379,8.87562,9.21436,9.55767,10.05552,10.35305,10.21332,10.01268,9.89330,9.80822,9.77795,9.70559,9.53456,9.70393,9.41967,9.30467,9.29361,9.13792,8.98022,8.78625,8.89320,8.72563,9.38077,8.96342,8.65731,8.47519,8.68909,8.58600,8.54821,8.25232
2021,Mayfield West 132_11kV,04MAY2020,MW,8.01383,7.83341,7.99091,7.71576,7.48058,7.88760,7.47726,7.24245,7.21206,7.18029,7.11088,7.05619,7.01411,7.07041,7.09131,7.22755,7.13049,7.29903,7.27977,7.46460,7.59931,7.75220,8.12719,8.47129,9.39142,9.78122,10.22756,10.26415,10.70048,10.96056,11.14182,11.14650,11.28818,11.84458,11.70353,10.89147,10.46493,10.38781,10.24145,10.01559,9.83666,9.80657,9.40107,9.21740,9.26048,9.79477,10.14475,9.99087,9.82183,9.67868,10.43778,10.18527,10.33368,9.97195,9.88817,11.31313,10.67323,10.79083,9.61451,9.10823,9.11467,9.32745,9.87445,11.21190,11.41191,11.70683,10.73268,11.18107,11.13168,11.39984,13.24435,13.54213,14.05725,13.80926,13.50057,13.49456,12.49188,12.17905,11.57822,12.08172,12.50892,13.04734,12.47885,11.85910,10.78132,11.58313,11.12180,11.47765,11.01746,10.39869,10.62490,9.46497,9.31135,9.32483,9.44898,8.78911
2021,Mayfield West 132_11kV,05MAY2020,MW,8.51204,8.34455,8.32738,8.14820,7.95466,8.15729,7.95931,7.69962,7.54394,7.62851,7.63241,7.55143,7.41138,7.22636,7.26786,7.14216,7.22625,7.33839,7.39189,7.48961,7.70968,7.77119,7.93514,8.42690,9.13176,9.46255,9.57714,9.78611,10.01266,10.31457,10.61157,10.94113,11.07345,10.57360,10.84666,10.68395,10.95005,11.20850,11.47682,11.34787,10.77779,11.24473,11.20328,11.97651,11.49810,11.42807,11.09190,9.95250,10.71709,11.02003,10.32956,9.13290,9.34512,9.55951,10.54673,10.41240,10.36855,9.81269,11.14708,11.27025,11.25364,11.80528,12.11877,12.17754,11.43921,12.00734,12.47157,12.22527,11.88491,11.95213,12.25667,12.45503,12.38461,12.08681,12.00387,11.71049,11.56423,11.47744,11.50855,11.54488,10.74653,9.92757,10.51376,10.65209,11.09168,10.57236,10.13448,10.09995,10.02420,9.40852,9.43013,9.10689,8.90393,8.72707,8.45642,8.11720
2021,Mayfield West 132_11kV,06MAY2020,MW,8.17953,8.29308,8.33636,8.10405,7.88221,8.00180,7.81401,7.58043,7.45522,7.45522,7.36478,7.17010,7.13048,7.05741,6.89352,6.83032,6.93547,7.06691,7.09807,7.22275,7.39181,7.46859,7.81528,8.12475,9.21512,9.98679,10.30694,10.67014,10.87677,11.31900,11.51576,11.83957,11.99876,12.00261,11.71263,11.40838,11.01746,10.62364,10.42058,10.18230,10.15810,9.99415,9.92554,9.68375,9.47557,9.35335,9.43572,9.37319,9.12072,9.10040,8.94336,8.88212,9.01766,8.48715,9.70982,9.88426,10.02182,10.19711,10.24416,11.13584,11.02390,11.08802,11.49786,11.62346,11.72303,12.01900,11.30805,12.28445,12.28912,12.65942,12.87599,12.46407,12.73699,12.77324,12.70971,12.61763,12.60403,12.01183,12.13317,12.18146,11.75444,11.05181,10.91274,10.86813,9.85503,10.13492,10.82489,10.67543,10.80212,10.62029,10.23285,9.92404,9.97285,9.78206,9.67070,9.31070
2021,Mayfield West 132_11kV,07MAY2020,MW,9.32182,9.39862,9.31960,9.16652,8.96262,9.24635,9.00623,8.80702,8.67060,8.74003,8.08702,8.43307,8.23523,8.28106,8.27378,8.21023,8.21921,8.23942,8.29177,8.33400,8.73153,8.87861,8.31990,8.60678,9.82029,10.31310,10.66052,10.83446,11.13088,11.21664,11.10013,11.09027,11.64253,11.51980,11.39323,11.53720,11.28200,11.09793,11.16726,11.23767,10.99964,10.76315,10.61144,10.48206,10.21908,10.13638,10.35140,10.60035,10.86127,10.67667,10.42098,10.33637,10.18416,10.61218,10.15189,10.18687,9.61114,9.64455,9.61725,9.18342,9.42833,10.22855,10.75559,10.26358,10.67862,10.95645,10.97877,10.77107,10.25393,11.36025,11.51109,11.96124,12.28282,12.08118,11.85881,11.64701,11.31616,11.11245,10.87975,11.15777,10.72627,10.44363,10.42220,10.36079,10.10389,9.22195,9.73221,10.08072,10.14638,9.89760,9.53948,9.01706,9.02089,8.79174,8.54130,8.34298
2021,Mayfield West 132_11kV,08MAY2020,MW,8.34307,8.26537,8.30291,8.06870,7.83633,8.03452,7.88902,7.67201,7.48199,7.54428,7.39522,7.33048,7.31137,7.23424,7.15472,7.03908,7.08921,7.19106,7.29543,7.36649,7.45270,7.70458,8.03418,8.29960,9.47989,10.47593,10.47814,10.46633,10.73917,10.82310,11.28799,11.08590,10.97044,10.61760,11.13291,10.96293,10.62512,10.45129,10.31100,9.99080,10.06218,10.14287,10.04043,9.97949,9.85178,9.63114,9.27661,9.88955,10.16631,10.24567,10.06064,10.09243,10.04179,10.19885,10.32259,10.25469,10.45065,10.65170,10.60565,10.71663,10.61837,10.90609,11.61468,10.65247,10.42572,11.17104,11.61565,11.83668,11.86224,12.07221,12.39483,12.61097,12.45852,11.90288,11.31326,11.17398,10.59031,9.81826,9.61048,10.47012,10.72726,10.75156,10.80479,10.52018,10.16883,10.67001,10.58440,9.71037,9.70302,9.35261,8.95381,8.58761,8.67195,8.39144,8.18997,7.96285
2021,Mayfield West 132_11kV,09MAY2020,MW,8.04598,8.06713,8.09500,7.85824,7.66700,7.98288,7.85267,7.49571,7.28054,7.11369,7.16945,7.22720,7.04194,7.07537,7.03910,6.95838,6.89844,6.86765,6.92915,7.01631,7.13928,7.08743,7.32018,7.36035,7.53182,7.50655,7.47191,7.51014,7.63145,7.74616,7.95504,8.06259,7.85062,7.72396,8.28596,8.35388,7.45955,7.11909,8.28317,8.32123,7.91982,7.77270,7.06789,6.46595,6.52798,6.48851,6.54862,7.47802,7.32579,7.24889,6.95937,7.14667,6.60912,7.19011,7.89338,7.86376,7.90556,7.93244,8.03858,8.19829,8.09079,8.17636,8.35276,8.55440,8.43212,8.45879,8.25158,8.43998,8.70719,9.04728,9.52223,9.62512,9.53395,9.27219,9.23774,9.10770,8.99194,8.84384,8.77874,8.76717,8.62762,8.48349,8.40880,8.26116,8.19799,8.07133,8.12249,7.97609,8.72345,8.44447,8.17001,7.94972,8.13589,8.03664,7.84665,7.65527
2021,Mayfield West 132_11kV,10MAY2020,MW,7.51258,7.47460,7.43063,7.35126,7.13428,7.45898,7.16333,6.91792,6.80942,6.80734,6.87002,6.79323,6.72558,6.67659,6.58109,6.60414,6.52731,6.58059,6.81208,6.68428,6.86047,6.88360,6.90241,6.90009,7.15091,7.30346,7.26390,7.50800,7.53272,7.59253,7.55515,7.54729,7.40380,7.49128,7.38741,7.19752,7.06492,6.92508,6.80608,6.81842,6.73689,6.61032,6.38408,6.35163,6.24047,6.07704,5.96535,6.06547,6.09951,6.06892,6.16623,6.07497,6.04333,6.16192,6.17229,6.31789,6.26773,6.48501,6.46187,6.57874,6.80247,6.96741,7.20295,7.55249,8.05421,8.30766,8.77096,9.10156,9.57052,9.86767,10.42089,10.51728,10.63063,10.53189,10.52336,10.38354,10.36357,10.07682,10.11937,10.29301,10.03533,9.86559,9.66823,9.62662,9.43988,9.33620,9.29652,9.09966,9.86994,9.32164,8.98120,8.74298,8.86559,8.73218,8.74297,8.49777
2021,Mayfield West 132_11kV,11MAY2020,MW,8.32304,8.16329,8.16385,7.95763,7.86042,8.34881,8.04316,7.65848,7.52337,7.53696,7.53000,7.56085,7.49474,7.49084,7.42399,7.45045,7.51636,7.64038,7.68307,7.94111,8.11357,8.28286,8.50307,9.10958,10.97740,12.14250,12.33249,12.75629,13.17635,13.64607,13.88656,13.78815,13.96358,14.26051,13.27682,12.49227,12.97565,12.99097,12.54431,12.44260,10.97639,10.61165,10.61323,11.09671,11.47130,11.59386,10.99103,11.23794,11.18738,10.44276,11.02439,10.77868,10.05365,9.57260,9.62443,9.71039,9.83201,9.78754,10.65527,10.77272,11.51681,11.42636,11.63998,11.93451,11.74375,12.24467,12.33210,12.66045,12.75737,13.49240,14.05542,14.28609,14.61778,15.02751,14.97654,14.85078,14.59476,14.69973,14.13216,13.69985,13.32075,13.04642,12.47664,11.83613,11.41440,11.67487,11.76060,11.55244,11.47180,11.01346,10.65681,10.28505,10.33463,10.16777,10.02869,10.63236
2021,Mayfield West 132_11kV,12MAY2020,MW,10.63206,10.59318,10.53079,9.96163,9.89077,10.22965,10.02188,9.41243,8.87545,8.87887,9.75564,9.47573,9.58280,9.51208,9.51846,9.57533,9.43462,9.25559,9.19377,8.57206,9.15170,10.23154,9.45337,9.87543,11.48269,12.05005,12.59251,13.07910,13.73607,14.18546,13.78157,13.53783,13.40092,13.12024,13.09001,12.84098,12.48034,12.12813,12.01713,11.65697,11.63735,11.47673,11.15741,11.04498,11.08390,11.87306,11.44916,11.22907,10.95229,11.01280,10.87795,10.86151,10.96669,10.73169,11.09936,10.49356,10.91277,11.71169,12.54404,12.18201,11.37290,11.38422,12.60966,12.65299,12.81424,12.33485,12.70054,13.59145,13.65491,13.65379,14.28788,14.32044,14.40316,13.91569,13.53438,12.56502,12.90126,12.65910,12.46178,12.66283,12.29166,12.11752,11.99525,11.89376,11.62018,11.01754,11.93522,11.56563,11.50362,11.59029,10.69700,10.12996,10.00382,9.88829,9.65714,9.56312
2021,Mayfield West 132_11kV,13MAY2020,MW,9.36676,9.25795,9.30648,9.12227,8.67593,8.97992,8.78850,8.61369,8.54281,8.54265,8.43830,8.33979,8.15402,8.16609,8.18498,8.11873,8.10687,8.23316,8.37206,8.39147,8.77406,8.83553,9.12163,9.68509,11.30732,11.53963,11.30249,11.48290,11.86926,13.00767,13.36401,14.01106,13.78187,14.01844,13.94530,13.34584,12.23482,11.49184,12.24890,12.35301,12.14480,11.74025,11.22802,10.80809,11.35625,11.44697,10.81797,10.52062,9.64193,9.88655,10.69578,10.21922,10.37836,10.92017,10.96718,11.79879,11.57883,11.47176,11.49171,12.90044,12.63095,12.89877,12.73921,12.72421,12.98057,13.09796,13.12426,13.07163,13.54557,13.84723,14.57537,14.53645,14.31998,14.11356,13.83118,13.33453,13.73929,13.63006,13.50447,13.58936,13.48131,13.26634,13.07308,12.23049,12.54408,12.62828,11.95538,11.72673,11.51322,11.28179,10.63788,10.11900,10.10595,9.78512,9.51583,9.16276
2021,Mayfield West 132_11kV,14MAY2020,MW,9.18894,9.13331,9.09447,8.90441,8.79553,9.00417,8.62661,8.45199,8.39487,8.63291,8.34884,8.30662,8.10591,7.96772,8.03596,8.11535,8.02393,8.20456,8.18538,8.27893,8.51022,8.73074,9.01975,9.33021,10.06043,10.96232,11.73917,12.18410,12.78358,13.03357,13.71247,14.20348,14.17531,13.49683,14.43305,13.66095,14.14091,14.74325,15.36507,14.85992,15.04080,14.88697,15.18130,14.42127,14.50515,14.98358,14.44612,14.67074,15.06091,13.84115,12.74926,12.18866,12.94029,13.88745,13.91491,13.27183,13.20391,12.14421,11.85329,11.71683,11.93208,11.81094,12.41400,12.36043,12.32872,13.23417,13.34161,13.39167,13.64666,14.31330,14.82295,14.67894,14.70484,13.88888,13.88032,13.08731,12.76044,13.42440,13.44765,13.49076,13.20128,12.96909,12.85450,11.52679,12.48393,11.84094,11.13025,10.74004,11.79703,11.07453,10.58583,10.24749,10.11311,9.95089,9.74460,9.40168
2021,Mayfield West 132_11kV,15MAY2020,MW,9.33987,9.38854,9.36463,9.10919,8.87769,9.04707,8.83948,8.61522,8.43569,8.53798,8.33182,8.17255,8.08576,7.98265,8.13085,7.97487,8.10261,7.99600,8.05950,8.17967,8.35801,8.41840,8.82463,9.14229,9.79733,10.18143,10.36956,10.93126,11.44776,11.79422,12.20574,12.39008,12.58586,13.17972,13.17170,13.08239,12.41679,12.29819,11.19050,10.92704,11.05067,11.43846,11.68302,12.06902,10.68866,10.12006,10.30948,10.22354,9.92779,10.18721,9.86797,9.58053,9.68867,10.10837,11.43372,11.37240,10.99916,10.98646,10.88233,10.93322,10.80604,10.72990,10.79568,11.02512,11.03511,11.21298,11.52466,11.76567,11.67689,11.87814,12.19402,12.15214,12.05699,11.76653,11.75406,11.58515,11.44286,11.33995,11.12708,11.10802,10.82177,10.56199,10.52583,10.31821,10.19706,10.19615,10.04973,9.88912,9.76391,9.48741,10.15764,9.89644,9.90728,9.63348,9.61024,9.41230
2021,Mayfield West 132_11kV,16MAY2020,MW,9.24763,9.20667,9.24679,8.98565,8.66430,8.85424,8.75021,8.49328,8.22239,8.01068,7.99267,7.95454,7.93598,7.79913,7.70069,7.69655,7.61781,7.53214,7.66383,7.69329,7.76439,7.80705,7.88319,8.18117,8.37502,8.55546,8.43512,8.66879,8.91504,8.88725,9.27371,9.43888,9.51782,9.70503,9.74786,9.83528,9.89783,9.56561,9.24097,9.00045,8.42817,8.12459,7.97899,7.82080,7.52353,7.42461,7.28841,7.18519,7.20640,7.36993,7.02565,7.06434,7.04865,7.19055,7.23261,6.81785,6.96670,7.27884,6.98296,7.28721,7.95542,8.16474,8.37660,8.52189,8.77641,8.85502,9.16115,9.48038,10.02639,10.29301,10.48451,10.71695,10.72127,10.46621,10.33057,10.27108,10.26995,10.18660,10.13560,10.20336,9.94524,9.74436,9.61003,9.46594,9.30521,9.29681,9.32185,9.14709,9.82573,9.40628,9.02226,8.80414,9.02465,8.87240,8.83322,8.59384
2021,Mayfield West 132_11kV,17MAY2020,MW,8.41422,8.39648,8.37897,8.11704,7.76972,8.19109,7.81150,7.63198,7.52439,7.32465,7.27879,7.16600,7.27420,7.19841,7.28475,7.19578,7.16460,7.21433,7.06155,7.18865,7.26347,7.31622,7.44259,7.53609,7.70819,7.86550,7.67199,7.80093,7.83344,7.70897,8.00867,8.11333,7.89306,7.91421,7.84379,7.69268,7.48689,7.36658,7.22966,7.11750,7.07161,6.79527,6.65718,6.74560,6.62929,6.63006,6.60893,6.68954,6.92001,7.05498,7.03285,7.01000,7.20683,6.76546,6.95777,6.75336,6.70048,6.92911,7.23055,7.44483,7.54894,7.77239,8.29477,8.64662,8.78504,8.85655,9.12005,9.42068,9.96903,10.52379,10.81157,10.82273,10.79197,10.61095,10.51321,10.24156,10.12196,9.93527,9.89579,10.03412,9.98785,9.75405,9.59158,9.48771,9.24321,9.20472,9.26142,9.11319,9.69317,9.36478,8.96223,8.73304,9.16872,8.93516,8.86962,8.67903
2021,Mayfield West 132_11kV,18MAY2020,MW,8.35643,8.19484,8.27496,8.11323,8.04172,8.36169,8.01231,7.88228,7.76262,7.79489,7.79984,7.71079,7.67808,7.64985,7.72076,7.62481,7.56956,7.73313,7.75898,7.93010,8.22705,8.35605,8.73775,9.06130,10.75498,12.33542,13.15536,13.43727,12.77444,12.94328,12.68777,12.66224,13.74878,14.66856,15.02841,15.14136,14.60075,14.14446,14.03371,12.75198,12.87323,13.96304,15.04674,14.88552,13.45025,12.65977,12.74173,12.34764,12.31261,12.18345,11.28385,11.94113,12.51718,12.72078,12.34206,12.27596,12.16948,11.68503,10.49369,10.54526,11.01231,11.98173,12.08408,11.40001,10.98813,12.34515,12.77426,12.93311,13.05913,13.52443,13.64675,13.68739,13.73828,13.47008,11.84397,11.49772,11.36624,11.28632,11.05951,11.82531,11.06471,11.17516,11.58243,10.74802,10.28815,10.49430,11.07262,11.22032,11.15750,10.73615,11.60600,11.31662,10.86123,10.56035,10.27217,10.06019
2021,Mayfield West 132_11kV,19MAY2020,MW,9.95710,10.09796,10.15403,10.03599,9.78258,9.96221,9.80638,9.56300,8.62411,8.37812,8.42781,8.23025,8.07595,8.01799,7.97161,8.18712,8.14055,9.08022,9.28672,9.51860,8.53028,8.55888,8.72056,9.20076,11.26261,12.69183,13.20626,13.56206,13.59282,13.90316,14.29158,14.66532,14.75767,14.54042,14.38482,13.71660,12.82234,12.61810,12.90809,12.27658,11.83859,11.46852,12.17768,11.73038,10.91652,10.66428,11.36937,11.36801,10.77888,11.24431,10.16113,9.97362,10.78941,10.86536,11.31757,11.20182,10.67930,10.85793,9.92245,10.00609,10.87530,10.92823,11.09574,11.18905,11.19657,10.63300,11.05639,11.05984,11.14257,11.45713,11.73928,11.80609,11.77845,11.66929,11.62118,11.49875,11.41735,11.13372,10.99096,11.11511,10.91106,10.62074,10.60793,10.35896,10.78026,10.82580,10.13138,10.57463,10.56623,10.41730,9.96349,9.51109,9.34088,9.12234,9.03425,8.85994
2021,Mayfield West 132_11kV,20MAY2020,MW,8.71126,8.69948,8.81693,8.56855,8.36918,8.58861,8.58776,8.22792,8.01047,7.96511,8.01597,7.84862,7.80700,7.82394,7.75626,7.71320,7.77268,7.72888,7.69312,7.71344,7.97394,8.36886,8.65841,8.95270,9.76010,10.54833,11.06197,11.32343,11.54045,11.44163,12.31262,12.48260,11.71630,11.76315,11.60121,11.92883,11.65716,11.68638,11.71009,11.33671,11.38325,11.20906,11.26917,10.24954,9.94256,9.73164,9.81399,9.92531,9.43497,9.47377,10.22268,10.76312,11.30426,11.75615,11.68616,12.03482,12.75142,11.29546,10.66407,11.35045,10.92182,11.15393,10.91338,11.22897,11.16188,11.07124,10.90151,10.94190,11.77264,12.18568,11.87556,11.55007,11.71709,12.16990,11.94429,11.97806,11.77224,11.55360,11.51804,11.29101,10.61304,10.66876,10.54296,10.59598,10.41452,10.35713,10.23566,10.08645,9.69878,9.10203,10.06688,10.19365,10.15152,10.09981,9.86564,9.50503
2021,Mayfield West 132_11kV,21MAY2020,MW,9.21266,8.72107,8.90788,9.56173,8.44862,9.19516,9.58115,9.29233,8.10698,8.17550,9.23940,9.12089,8.99306,8.89883,8.92164,8.91543,8.87408,9.00538,8.57837,8.77900,7.85313,8.03109,8.27780,8.53011,10.68938,12.06644,11.21438,11.80658,11.91916,12.53763,13.32698,13.63764,14.17918,13.84251,14.73825,14.82531,12.84928,12.79662,14.22244,14.53917,15.11034,14.73654,14.88992,14.93323,15.02202,15.13165,15.01535,13.08563,12.95326,12.74558,12.98747,14.25101,14.01672,14.16266,14.15604,13.80316,12.60580,12.35210,12.46891,13.84703,14.05930,13.13821,13.16810,12.90164,13.99342,13.74101,14.02143,13.46317,13.40770,13.76451,12.98707,12.74067,13.12497,13.47901,13.33866,13.17485,12.88139,12.71725,11.87889,11.97876,11.60842,11.88832,12.03723,11.12546,11.22687,10.36401,10.93079,10.17928,10.17907,10.90652,10.18167,9.98102,9.93727,9.80989,9.44031,9.20391
2021,Mayfield West 132_11kV,22MAY2020,MW,8.99109,9.10752,9.10651,8.98600,8.62239,8.71749,8.51028,8.34657,8.23932,8.37122,8.29464,8.19146,8.20849,8.13283,8.03451,8.06128,7.92660,7.94351,8.11570,8.18173,8.45781,8.62072,9.10432,9.64712,10.58684,11.36863,12.49315,13.34285,12.94389,14.44200,14.68098,15.40953,15.77861,17.00173,16.85348,16.52562,14.12556,13.03461,15.27183,15.61440,15.44207,15.12542,14.79575,15.72130,15.37057,15.01335,15.27664,15.19797,14.85112,14.88555,14.78956,14.70691,15.23804,15.34283,15.18728,14.06907,13.33448,12.56241,12.59320,12.65248,12.63210,12.79619,12.67071,12.58633,12.48765,12.62725,12.88945,13.15006,13.30531,13.69790,13.74088,13.42466,13.09972,12.87727,12.71514,13.42221,12.83638,12.57697,12.37931,12.67901,12.49942,12.27374,11.83668,11.69315,11.58681,11.40222,11.29716,10.92832,10.83016,10.70132,10.27437,10.01893,10.01456,9.86959,9.58880,9.34297
2021,Mayfield West 132_11kV,23MAY2020,MW,9.17806,9.19132,9.16690,8.93982,8.79716,8.88761,8.68922,8.43810,8.23992,8.08359,7.97606,8.04240,7.94850,7.91764,7.99569,7.90216,7.82239,7.81553,7.92564,7.87164,7.95300,7.96997,8.17857,8.17986,8.49316,8.67223,8.76386,8.75264,8.96222,9.29570,9.53707,9.74179,9.92483,9.94298,10.17683,10.21198,10.07518,10.12031,10.24278,9.63113,9.21495,9.20852,9.33114,8.64340,8.49216,8.19811,8.29756,7.98259,8.12796,8.29961,7.93042,8.04088,8.25935,8.75273,8.77464,9.21395,8.76938,9.05767,9.31191,9.45716,9.66641,9.83322,10.26183,10.34819,10.51257,10.94837,11.22926,11.57265,11.80714,11.83426,11.94582,12.04058,12.08691,11.82580,11.90283,11.77264,11.58698,11.46841,11.37675,11.50587,11.22161,11.04794,10.91857,10.62954,10.53887,10.26984,10.25578,10.14064,10.82280,10.31857,9.89419,9.55213,9.72212,9.40957,9.17394,8.96810
2021,Mayfield West 132_11kV,24MAY2020,MW,8.73229,8.58803,8.59174,8.39172,8.08553,8.28539,8.12659,7.85338,7.71297,7.57304,7.51233,7.49083,7.41361,7.31084,7.34180,7.25028,7.21706,7.00097,7.31149,7.45832,7.39631,7.39058,7.56226,7.49245,7.67682,7.85670,7.93880,8.00303,8.23103,8.41678,8.74500,8.59847,8.76229,9.07866,9.21861,9.31517,9.43656,9.48931,9.48627,9.60762,9.82160,9.69131,9.71362,9.73384,9.35701,9.28614,9.14884,9.14870,9.34915,9.59243,9.52424,9.56639,9.80987,9.73496,9.79656,9.48385,9.62609,9.86071,9.54439,9.65643,9.70529,9.83331,10.09632,10.10779,10.33638,10.67079,11.07901,11.38166,11.68548,11.92946,12.13622,12.11721,12.03471,11.72643,11.74934,11.57630,11.40536,11.15643,10.92747,10.98106,10.65538,10.39691,10.37546,10.08054,9.82743,9.67236,9.72185,9.42805,9.95069,9.69673,9.22573,9.04743,9.34221,9.20633,9.10487,8.92293
2021,Mayfield West 132_11kV,25MAY2020,MW,8.69482,8.49559,8.48052,8.39228,8.16759,8.51615,8.11415,7.87565,7.69581,7.86363,7.80936,7.59384,7.52953,7.58921,7.56114,7.57537,7.70524,7.73505,7.87900,7.97133,8.32850,8.48409,8.68485,8.99182,10.66548,11.60407,12.74243,13.19138,13.32680,14.17952,14.46046,13.99654,13.57074,14.33060,14.74326,14.80846,14.38221,14.91629,15.17615,14.56400,15.18462,15.61383,15.56464,15.92361,15.73292,16.05110,16.02333,15.44232,15.71100,15.81705,16.12777,15.86820,15.60710,15.52789,15.25022,15.34978,15.52348,14.03077,13.72824,14.41954,14.40535,14.84154,14.77726,14.70060,13.94647,13.82441,13.65259,14.36359,14.77402,15.85834,15.98566,15.85117,15.70122,15.22252,15.07313,14.76482,14.53273,14.39484,14.21832,14.19872,13.97411,13.54345,13.29523,12.94850,12.76899,12.22325,12.24175,11.95687,11.77377,11.43854,12.08258,11.81812,11.52579,11.23262,11.00461,10.61768
2021,Mayfield West 132_11kV,26MAY2020,MW,10.61265,10.52447,10.65559,10.31094,10.00840,10.26578,10.07940,9.67383,9.64271,9.00472,8.59696,8.36531,8.68879,8.40601,9.15172,9.14226,8.91368,9.22468,9.14417,9.00240,9.12165,9.98422,9.04509,9.36512,11.26749,12.60844,13.30861,13.03375,14.60024,15.12133,15.41332,15.62236,15.87593,15.65929,15.87226,15.65774,13.91976,13.69466,14.04329,13.03615,14.21491,14.68840,14.39065,13.68293,13.47509,13.32632,12.72258,13.21498,12.34066,11.71494,12.35826,12.58279,12.51500,13.32529,12.82320,14.10247,12.58509,12.06698,11.07094,11.07723,10.93755,10.83740,10.82960,11.82009,12.78998,12.52034,12.49576,13.20375,14.04240,14.24985,14.46140,14.18198,13.95678,12.78788,13.25422,12.31237,12.64813,13.10949,12.69331,12.13754,11.27520,12.52917,12.24453,10.81832,10.39687,9.99217,10.00883,9.94964,9.91031,9.64325,10.11900,9.72309,9.59198,9.41054,9.11082,8.87918
